Player,GP,PTS,+/-,PIM,S,TOI,BLK,HIT
Justin Abdelkader\abdelju01,71,19,-14,38,95,1093,34,185
Pontus Aberg\abergpo01,59,25,-14,20,101,861,11,45
Vitaly Abramov\abramvi01,1,0,-3,0,0,14,1,0
Noel Acciari\acciano01,72,14,-3,47,99,935,36,221
Kenny Agostino\agostke01,63,24,-3,34,79,814,14,143
Andrew Agozzino\agozzan01,11,2,2,0,11,86,3,14
Sebastian Aho\ahose01,82,83,25,26,243,1652,34,65
Mark Alt\altma01,2,0,0,0,2,20,2,0
Karl Alzner\alzneka01,9,1,1,2,8,156,10,13
Michael Amadio\amadimi01,43,13,-1,6,37,439,13,16
Joey Anderson\anderjo08,34,7,-7,6,49,439,11,42
Josh Anderson\anderjo05,82,47,25,60,230,1396,40,214
Jaret Anderson-Dolan\anderja01,5,1,-2,0,6,58,2,5
Lias Andersson\anderli01,42,6,-13,29,41,450,8,60
Rasmus Andersson\anderra01,79,19,17,23,115,1267,83,52
Sven Andrighetto\andrisv01,64,17,10,14,95,708,32,29
Artem Anisimov\anisiar01,78,37,-2,14,142,1275,33,25
Mason Appleton\applema01,36,10,9,4,29,295,12,28
Darren Archibald\archida02,12,2,-3,12,10,89,4,10
Josh Archibald\archijo01,68,22,1,15,92,923,39,161
Joel Armia\armiajo01,57,23,0,14,134,900,21,113
Viktor Arvidsson\arvidvi01,58,48,12,26,195,1110,23,18
Zach Aston-Reese\astonza01,43,17,12,26,76,587,37,138
Andreas Athanasiou\athanan01,76,54,-9,38,216,1290,26,33
Cam Atkinson\atkinca01,80,69,3,20,295,1550,25,27
Nicolas Aube-Kubel\aubekni01,9,0,1,0,2,50,0,14
David Backes\backeda01,70,20,0,31,129,913,30,140
Mikael Backlund\backlmi01,77,47,34,52,205,1378,26,52
Nicklas Backstrom\backsni02,80,74,2,30,169,1596,30,54
Sven Baertschi\baertsv01,26,14,-9,6,43,394,13,18
Josh Bailey\bailejo01,82,56,8,21,126,1380,32,19
Justin Bailey\baileju01,11,1,0,2,5,63,5,9
Rudolfs Balcers\balceru01,36,14,-7,10,48,445,24,18
Ivan Barbashev\barbaiv01,80,26,-4,17,60,921,31,86
Mark Barberio\barbema01,12,1,-6,4,11,183,14,13
Aleksander Barkov\barkoal01,82,96,-3,8,206,1833,61,28
Tyson Barrie\barrity01,78,59,-3,36,218,1699,93,48
Matt Bartkowski\bartkma01,2,1,2,0,2,21,1,1
Mathew Barzal\barzama01,82,62,-5,46,179,1470,56,25
Nathan Bastian\bastina01,7,3,0,10,13,89,1,24
Drake Batherson\bathedr01,20,9,-2,6,18,268,21,17
Gavin Bayreuther\bayrega01,19,5,2,10,25,346,19,11
Jay Beagle\beaglja01,57,13,-8,18,45,778,33,102
Jake Bean\beanja01,2,0,0,2,1,17,0,1
Nathan Beaulieu\beaulna01,48,12,6,39,60,744,42,60
Anthony Beauvillier\beauvan01,81,28,1,8,156,1186,35,87
Matt Beleskey\belesma01,4,1,1,5,3,29,1,7
Pierre-Edouard Bellemare\bellepi01,76,15,2,6,108,945,51,71
Louis Belpedio\belpelo01,2,0,0,0,0,26,4,1
Jamie Benn\bennja01,78,53,14,56,189,1422,71,142
Jordie Benn\bennjo01,81,22,15,39,93,1474,128,124
Sam Bennett\bennesa01,71,27,-6,93,115,944,27,121
Matt Benning\bennima01,70,17,11,33,94,1046,59,109
Patrice Bergeron\bergepa01,65,79,23,30,205,1200,60,43
Patrik Berglund\berglpa01,23,4,-5,6,25,300,16,25
Tyler Bertuzzi\bertuty01,73,47,11,36,131,1206,39,76
Alex Biega\biegaal01,41,16,0,22,91,725,43,101
Clark Bishop\bishocl01,20,3,-3,6,16,189,5,39
Anthony Bitetto\bitetan01,36,3,-7,12,30,429,36,80
Anders Bjork\bjorkan01,20,3,-1,2,18,236,12,9
Oliver Bjorkstrand\bjorkol01,77,36,8,8,161,950,34,43
Nick Bjugstad\bjugsni01,64,26,6,30,154,968,27,126
Colin Blackwell\blackco01,6,0,-1,2,5,58,3,10
Sammy Blais\blaissa01,32,4,-1,6,27,315,12,93
Joseph Blandisi\blandjo01,9,0,-1,6,8,67,1,10
Anton Blidh\blidhan01,1,0,0,0,0,14,1,6
Teddy Blueger\bluegte01,28,10,7,15,33,310,14,52
Mikkel Boedker\boedkmi01,71,35,-23,6,88,996,28,54
Brock Boeser\boesebr01,69,56,-2,22,209,1322,22,14
Zach Bogosian\bogosza01,65,19,-5,52,93,1406,116,83
Nick Bonino\boninni01,81,35,27,18,118,1321,70,24
William Borgen\borgewi01,4,0,-5,0,2,66,3,12
Henrik Borgström\borgshe01,50,18,-14,4,54,600,12,11
Mark Borowiecki\borowma01,53,5,-12,89,59,825,93,212
Robert Bortuzzo\borturo01,59,10,9,47,75,913,72,95
Evan Bouchard\bouchev01,7,1,-5,2,10,86,8,6
Reid Boucher\bouchre01,1,0,0,0,0,5,0,1
Gabriel Bourque\bourqga01,55,8,3,10,34,536,48,100
Jay Bouwmeester\bouwmja01,78,17,-3,40,82,1617,127,61
Madison Bowey\boweyma01,50,10,-1,46,48,763,63,72
Johnny Boychuk\boychjo01,74,19,10,25,157,1393,120,144
Travis Boyd\boydtr01,53,20,6,6,35,521,21,13
Brian Boyle\boylebr01,73,24,-14,38,123,981,50,145
Tyler Bozak\bozakty01,72,38,-3,20,141,1177,33,52
Erik Brannstrom\branner01,2,0,0,0,0,36,1,1
Derick Brassard\brassde01,70,23,-19,39,110,1050,15,102
